"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Naso.lituratus",0.56,0.04,0,0,0,0,0,0.03,0.08,0.01,0.04,0.05,0.01,0.02,0.01,0.04,0.1
"Naso.unicornis",0.08,0.24,0,0.01,0,0,0,0.12,0.09,0.03,0.04,0.22,0.01,0.01,0.03,0.09,0.03
"Nemateleotris.magnifica",0.57,0.21,0,0,0,0,0,0.06,0.02,0.01,0.01,0.01,0.02,0.04,0,0.01,0.01
"Neocirrhites.armatus",0.07,0.25,0,0,0,0,0,0,0.6,0,0.06,0.01,0,0,0,0,0
"Neoniphon.sammara",0.04,0.03,0,0,0,0,0,0.2,0.08,0.06,0.51,0.02,0.02,0,0.01,0.01,0
"Novaculichthys.taeniourus",0.09,0.1,0.01,0.01,0,0,0,0.13,0.09,0.05,0.16,0.03,0.04,0.03,0.09,0.17,0.02
"Odonus.niger",0.1,0.06,0,0,0,0,0,0.3,0.08,0.07,0.03,0.22,0.01,0.02,0.01,0.08,0.01
"Ostracion.meleagris",0.03,0.02,0,0,0,0,0,0.2,0.1,0.23,0.08,0.26,0.01,0.01,0.01,0.02,0.03
"Oxycheilinus.unifasciatus",0.2,0.24,0,0,0,0,0,0.05,0.11,0.13,0.01,0.08,0.01,0,0,0.15,0.01
"Paracirrhites.arcatus",0.17,0.11,0,0,0,0,0,0.36,0.17,0.01,0.02,0.08,0.01,0.01,0.01,0.04,0
"Paracirrhites.forsteri",0.31,0.06,0.01,0.01,0,0,0,0.13,0.24,0.04,0.03,0.05,0.03,0.01,0.02,0.05,0.01
"Parupeneus.ciliatus",0.11,0.49,0.01,0,0,0,0,0.04,0.11,0.02,0.12,0.03,0.02,0.01,0.01,0,0.01
